360.00	04.43
810.00	04.45
430.00	04.44
1185.00	06.11
560.00	01.35
230.00	01.38
230.00	01.46
300.00	01.40
460.00	01.39
200.00	04.02
340.00	04.03
760.00	01.77
1000.00	04.67
580.00	04.68
1585.00	52.51
3070.00	52.04
280.00	02.10
310.00	04.40
840.00	04.42
440.00	04.41
200.00	01.10
400.00	99.10
2280.00	06.17
400.00	01.89
200.00	01.26
380.00	04.25
380.00	04.26
410.00	01.88
485.00	124
340.00	01.04
400.00	01.44
690.00	04.59
550.00	04.21
480.00	02.07
150.00	09.27
180.00	09.89
600.00	04.28
750.00	23.01
2970.00	75.04
600.00	07.18
1029.00	П445
1029.00	П458
1029.00	П456
1029.00	П457
1029.00	П403
1029.00	П444
1029.00	П409
1029.00	П419
1029.00	П461
1029.00	П421
1029.00	П462
1029.00	П460
1029.00	П417
1029.00	П414
1029.00	П422
1029.00	П423
1029.00	П420
1029.00	П413
1029.00	П412
1029.00	П408
1029.00	П418
1029.00	П454
1029.00	П415
1029.00	П441
1029.00	П405
1500.00	П548
1029.00	П402
1029.00	П459
1029.00	П416
1029.00	П410
1029.00	П406
1029.00	П466
1029.00	П465
1029.00	П464
1029.00	П463
1029.00	П455
1029.00	П428
1029.00	П475
2751.00	П551
2394.00	П473
2751.00	П550
2751.00	П447
1029.00	П448
2394.00	П450
1029.00	П567
2394.00	П451
2394.00	П452
2394.00	П453
2394.00	П472
1029.00	П474
2394.00	П468
2751.00	П469
2394.00	П449
1029.00	П446
2751.00	П470
2751.00	П471
22000.00	51.27
32000.00	П440
150.00	09.01
150.00	09.15
1100.00	07.21
600.00	09.60
200.00	09.22
300.00	24.14
1600.00	07.37
900.00	20.22
190.00	24.13
240.00	09.23
1220.00	b0714
1440.00	b0814
240.00	25.02
800.00	25.03
550.00	25.16
6200.00	78.01
8200.00	78.02
700.00	22.06
220.00	22.02
2960.00	130
2030.00	129
3150.00	128
2400.00	ЗН05
760.00	07.33
2800.00	ЗН04
800.00	19.10
1440.00	08.66
2130.00	08.25
1200.00	08.12
890.00	14.42
800.00	14.41
800.00	COV.19_2
1000.00	14.46
1200.00	14.44
800.00	COV.19_3
990.00	14.05
790.00	14.02
790.00	14.01
790.00	14.03
790.00	14.04
310.00	18.05
2565.00	52.62
460.00	09.30
460.00	09.31
330.00	09.55
150.00	09.02
500.00	13.12
800.00	04.95
500.00	04.31
1000.00	08.10
460.00	04.32
700.00	04.78
540.00	04.80
540.00	04.81
390.00	04.01
450.00	04.93
350.00	04.37
340.00	04.38
330.00	04.72
1280.00	08.21
1750.00	08.16
2000.00	08.43
2000.00	08.44
440.00	19.04
800.00	19.09
680.00	04.33
760.00	04.35
1480.00	08.15
1300.00	08.19
1300.00	08.18
2840.00	08.20
2840.00	08.20
1530.00	08.05
900.00	08.13
700.00	08.04
1370.00	08.24
1100.00	08.31
1700.00	08.17
1460.00	08.28
1560.00	08.27
2510.00	08.26
1700.00	08.03
480.00	04.79
440.00	08.01
440.00	08.02
925.00	08.47
925.00	08.46
1200.00	08.56
1200.00	08.57
860.00	08.11
1200.00	08.22
1620.00	08.23
760.00	08.07
1700.00	08.08
380.00	06.15
160.00	18.01
800.00	52.63
200.00	29.03
960.00	Б103
1180.00	Б105
1785.00	06.16
150.00	24.07
820.00	06.12
350.00	06.01
530.00	06.02
390.00	29.13
150.00	09.04
150.00	09.05
2600.00	25.07
990.00	52.41
2190.00	52.42
6875.00	52.55
3110.00	52.56
1135.00	125
590.00	09.50
2650.00	64.02
9000.00	02.28
2600.00	09.77
2600.00	09.93
2600.00	09.78
1160.00	09.67
2600.00	09.80
2800.00	09.76
1300.00	29.60
400.00	04.04
280.00	04.39
670.00	18.10
945.00	52.09
5000.00	63.02
900.00	20.33
600.00	09.62
1060.00	07.35
3800.00	52.36
150.00	09.03
1690.00	75.07
4670.00	95
3800.00	71.31
890.00	139
2020.00	141
570.00	138
1700.00	140
1670.00	21.02
1670.00	21.03
1670.00	21.01
5010.00	75.09
880.00	143
2700.00	52.47
820.00	52.48
2000.00	71.25
1400.00	07.40
1900.00	60.06
1890.00	62.01
1860.00	62.03
3000.00	62.09
450.00	09.19
130.00	09.18
310.00	09.20
2100.00	09.21
1180.00	09.54
2890.00	52.43
1430.00	52.01
1190.00	52.13
380.00	19.03
410.00	07.24
360.00	07.07
2190.00	52.11
1700.00	21.05
440.00	09.82
6515.00	52.60
9765.00	52.61
2200.00	21.04
2860.00	126
1100.00	07.30
750.00	23.03
2400.00	22.03
4200.00	52.53
2370.00	52.54
150.00	09.43
580.00	09.66
3270.00	52.58
4580.00	52.59
7010.00	80.08
2820.00	80.06
4960.00	80.07
1800.00	80.09
810.00	52.07
2550.00	52.52
2500.00	52.03
3620.00	112
2260.00	55.10
2610.00	114
1080.00	52.50
1865.00	52.49
1110.00	52.57
900.00	20.31
6000.00	20.08
8850.00	20.01
22000.00	62.25
32535.00	62.24
900.00	20.35
900.00	20.34
5000.00	61.24
900.00	20.28
3550.00	07.41
1800.00	07.42
600.00	71.21
2900.00	06.25
4900.00	06.29
830.00	07.43
470.00	07.26
970.00	07.27
600.00	71.15
3050.00	20.19
900.00	20.25
2655.00	117
1295.00	115
2300.00	116
4900.00	B4701
53590.00	62.28
22000.00	62.27
53590.00	62.26
16280.00	62.30
6310.00	71.02
900.00	20.23
170.00	09.37
230.00	09.87
2400.00	25.09
140.00	09.35
300.00	09.36
150.00	24.01
780.00	07.23
2650.00	64.01
1700.00	07.44
200.00	09.12
1590.00	414
600.00	71.09
560.00	71.10
560.00	71.11
350.00	25.01
370.00	07.14
710.00	60.03
150.00	09.32
140.00	24.10
190.00	09.06
320.00	09.07
800.00	09.59
160.00	09.09
220.00	09.10
190.00	09.46
340.00	07.01
190.00	19.05
1000.00	07.34
900.00	20.36
290.00	09.24
690.00	09.28
1000.00	09.65
1300.00	29.07
160.00	09.40
150.00	24.03
1020.00	07.36
4200.00	09.69
1500.00	52.12
1190.00	52.02
600.00	09.42
600.00	71.17
600.00	71.18
600.00	71.19
600.00	71.20
600.00	71.23
310.00	24.08
290.00	11.03
270.00	11.07
270.00	11.08
290.00	11.04
270.00	11.06
290.00	11.02
330.00	11.10
280.00	11.12
320.00	11.09
280.00	11.05
560.00	65.01
280.00	11.11
740.00	09.08
150.00	09.34
140.00	24.12
150.00	09.33
140.00	24.11
2600.00	63.01
170.00	09.38
210.00	24.25
5760.00	73.01
9000.00	78.18
11000.00	78.10
22000.00	62.29
900.00	20.21
750.00	23.02
500.00	13.11
4230.00	72.16
860.00	b2614
1200.00	b1514
700.00	b1414
180.00	09.81
400.00	11.13
200.00	22.01
150.00	09.14
190.00	19.06
420.00	19.01
2900.00	06.23
1450.00	06.22
5740.00	62.20
5740.00	62.23
5740.00	62.22
5740.00	62.21
5740.00	62.19
5740.00	62.18
10710.00	62.17
3500.00	B6001
3500.00	26.02
840.00	07.32
1500.00	13.15
1500.00	13.08
3130.00	08.65
2800.00	26.01
590.00	07.17
1880.00	123
4430.00	52.80
220.00	18.15
1700.00	07.31
6000.00	80.04
2200.00	80.02
4000.00	80.03
2745.00	52.35
765.00	52.06
